lookback,entry_threshold,stoploss_factor,holding_time_factor,half_life,Initial Capital,Final Portfolio Value,Total Return (%),Sharpe Ratio,Max Drawdown (%),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Mean Daily Return (%),Std Dev of Daily Return (%)
20,1.5,1.5,1.5,76.84620350108453,10000.0,10087.292392730713,0.872923927307129,1.221977194078095,0.3977996005303487,105,84,21,80.0,0.00238480402300979,0.030980602916753083
20,1.5,1.5,1.0,76.84620350108453,10000.0,10087.292392730713,0.872923927307129,1.221977194078095,0.3977996005303487,105,84,21,80.0,0.00238480402300979,0.030980602916753083
20,1.5,1.5,2.0,76.84620350108453,10000.0,10087.292392730713,0.872923927307129,1.221977194078095,0.3977996005303487,105,84,21,80.0,0.00238480402300979,0.030980602916753083
20,1.5,2.0,1.0,76.84620350108453,10000.0,10051.63740158081,0.5163740158081054,1.130399475721357,0.5938901348297494,75,55,20,73.33333333333333,0.002338164440736702,0.03283548038068251
20,1.5,2.0,1.5,76.84620350108453,10000.0,10051.63740158081,0.5163740158081054,1.130399475721357,0.5938901348297494,75,55,20,73.33333333333333,0.002338164440736702,0.03283548038068251
20,1.5,2.0,2.0,76.84620350108453,10000.0,10051.63740158081,0.5163740158081054,1.130399475721357,0.5938901348297494,75,55,20,73.33333333333333,0.002338164440736702,0.03283548038068251
20,3.0,1.5,1.0,76.84620350108453,10000.0,10005.748504638672,0.05748504638671875,1.0794951807667899,0.3611093930306126,11,9,2,81.81818181818183,0.0009814155162248535,0.014432198133056755
20,3.0,1.5,1.5,76.84620350108453,10000.0,10005.748504638672,0.05748504638671875,1.0794951807667899,0.3611093930306126,11,9,2,81.81818181818183,0.0009814155162248535,0.014432198133056755
20,3.0,1.5,2.0,76.84620350108453,10000.0,10005.748504638672,0.05748504638671875,1.0794951807667899,0.3611093930306126,11,9,2,81.81818181818183,0.0009814155162248535,0.014432198133056755
30,3.0,2.0,2.0,76.84620350108453,10000.0,10007.020011901855,0.07020011901855469,1.0766122471826785,0.4259823167278903,7,4,3,57.14285714285714,0.0010314981714682708,0.015209306674698284
30,3.0,2.0,1.5,76.84620350108453,10000.0,10007.020011901855,0.07020011901855469,1.0766122471826785,0.4259823167278903,7,4,3,57.14285714285714,0.0010314981714682708,0.015209306674698284
30,3.0,2.0,1.0,76.84620350108453,10000.0,10007.020011901855,0.07020011901855469,1.0766122471826785,0.4259823167278903,7,4,3,57.14285714285714,0.0010314981714682708,0.015209306674698284
20,1.5,3.0,1.0,76.84620350108453,10000.0,10057.339984893799,0.5733998489379882,1.0373771036072041,0.5010718953581971,48,41,7,85.41666666666666,0.00197988504488164,0.030297276284803457
20,1.5,3.0,1.5,76.84620350108453,10000.0,10057.339984893799,0.5733998489379882,1.0373771036072041,0.5010718953581971,48,41,7,85.41666666666666,0.00197988504488164,0.030297276284803457
20,1.5,3.0,2.0,76.84620350108453,10000.0,10057.339984893799,0.5733998489379882,1.0373771036072041,0.5010718953581971,48,41,7,85.41666666666666,0.00197988504488164,0.030297276284803457
30,3.0,3.0,2.0,76.84620350108453,10000.0,10018.099998474121,0.18099998474121093,0.9888093274061431,0.31516224684683014,5,4,1,80.0,0.0009434831652967366,0.01514683419157866
30,3.0,3.0,1.5,76.84620350108453,10000.0,10018.099998474121,0.18099998474121093,0.9888093274061431,0.31516224684683014,5,4,1,80.0,0.0009434831652967366,0.01514683419157866
30,3.0,3.0,1.0,76.84620350108453,10000.0,10018.099998474121,0.18099998474121093,0.9888093274061431,0.31516224684683014,5,4,1,80.0,0.0009434831652967366,0.01514683419157866
30,3.0,2.5,2.0,76.84620350108453,10000.0,10018.099998474121,0.18099998474121093,0.9888093274061431,0.31516224684683014,5,4,1,80.0,0.0009434831652967366,0.01514683419157866
30,3.0,2.5,1.5,76.84620350108453,10000.0,10018.099998474121,0.18099998474121093,0.9888093274061431,0.31516224684683014,5,4,1,80.0,0.0009434831652967366,0.01514683419157866
30,3.0,2.5,1.0,76.84620350108453,10000.0,10018.099998474121,0.18099998474121093,0.9888093274061431,0.31516224684683014,5,4,1,80.0,0.0009434831652967366,0.01514683419157866
30,2.5,2.5,1.5,76.84620350108453,10000.0,10007.655548095703,0.07655548095703124,0.9177487580013572,0.47665073212771775,19,14,5,73.68421052631578,0.0015781155218068687,0.027297021158109128
30,2.5,2.5,2.0,76.84620350108453,10000.0,10007.655548095703,0.07655548095703124,0.9177487580013572,0.47665073212771775,19,14,5,73.68421052631578,0.0015781155218068687,0.027297021158109128
30,2.5,2.5,1.0,76.84620350108453,10000.0,10007.655548095703,0.07655548095703124,0.9177487580013572,0.47665073212771775,19,14,5,73.68421052631578,0.0015781155218068687,0.027297021158109128
30,1.5,2.5,1.5,76.84620350108453,10000.0,10028.513526916504,0.28513526916503906,0.9002441734003944,0.5645463954881971,45,35,10,77.77777777777779,0.001729431097874437,0.03049602361088824
30,1.5,2.5,1.0,76.84620350108453,10000.0,10028.513526916504,0.28513526916503906,0.9002441734003944,0.5645463954881971,45,35,10,77.77777777777779,0.001729431097874437,0.03049602361088824
30,1.5,2.5,2.0,76.84620350108453,10000.0,10028.513526916504,0.28513526916503906,0.9002441734003944,0.5645463954881971,45,35,10,77.77777777777779,0.001729431097874437,0.03049602361088824
30,2.0,2.5,2.0,76.84620350108453,10000.0,9986.61351776123,-0.13386482238769531,0.8971849394007171,0.7214737153131414,31,21,10,67.74193548387096,0.0016673876066156995,0.029502231385223877
